# Id,Group Id,Surface
0,13,soft_tiles
1,31,hard_tiles
2,20,hard_tiles
3,31,hard_tiles
4,22,carpet
5,1,fine_concrete
6,34,soft_pvc
7,31,hard_tiles
8,33,tiled
9,11,fine_concrete
10,26,soft_pvc
11,1,fine_concrete
12,25,concrete
13,25,concrete
14,12,hard_tiles
15,7,concrete
16,7,concrete
17,21,carpet
18,8,fine_concrete
19,9,carpet
20,11,fine_concrete
21,33,tiled
22,22,carpet
23,28,fine_concrete
24,9,carpet
25,15,carpet
26,13,soft_tiles
27,27,wood
28,11,fine_concrete
29,33,tiled
30,9,carpet
31,9,carpet
32,35,soft_tiles
33,32,hard_tiles
34,20,hard_tiles
35,12,hard_tiles
36,1,fine_concrete
37,25,concrete
38,34,soft_pvc
39,23,hard_tiles_large_space
40,13,soft_tiles
41,14,hard_tiles_large_space
42,35,soft_tiles
43,23,hard_tiles_large_space
44,15,carpet
45,27,wood
46,26,soft_pvc
47,30,soft_tiles
48,32,hard_tiles
49,3,soft_pvc
50,32,hard_tiles
51,9,carpet
52,9,carpet
53,20,hard_tiles
54,25,concrete
55,22,carpet
56,35,soft_tiles
57,35,soft_tiles
58,7,concrete
59,22,carpet
60,32,hard_tiles
61,28,fine_concrete
62,29,soft_pvc
63,16,tiled
64,3,soft_pvc
65,32,hard_tiles
66,8,fine_concrete
67,28,fine_concrete
68,20,hard_tiles
69,3,soft_pvc
70,0,hard_tiles
71,12,hard_tiles
72,3,soft_pvc
73,34,soft_pvc
74,23,hard_tiles_large_space
75,35,soft_tiles
76,9,carpet
77,13,soft_tiles
78,29,soft_pvc
79,35,soft_tiles
80,9,carpet
81,1,fine_concrete
82,34,soft_pvc
83,10,hard_tiles_large_space
84,35,soft_tiles
85,15,carpet
86,20,hard_tiles
87,26,soft_pvc
88,9,carpet
89,23,hard_tiles_large_space
90,29,soft_pvc
91,26,soft_pvc
92,30,soft_tiles
93,13,soft_tiles
94,0,hard_tiles
95,22,carpet
96,10,hard_tiles_large_space
97,14,hard_tiles_large_space
98,33,tiled
99,11,fine_concrete
100,13,soft_tiles
101,21,carpet
102,10,hard_tiles_large_space
103,26,soft_pvc
104,13,soft_tiles
105,19,soft_pvc
106,4,carpet
107,21,carpet
108,29,soft_pvc
109,19,soft_pvc
110,23,hard_tiles_large_space
111,13,soft_tiles
112,18,soft_pvc
113,12,hard_tiles
114,4,carpet
115,6,soft_pvc
116,18,soft_pvc
117,15,carpet
118,25,concrete
119,16,tiled
120,1,fine_concrete
121,17,carpet
122,29,soft_pvc
123,19,soft_pvc
124,33,tiled
125,32,hard_tiles
126,8,fine_concrete
127,8,fine_concrete
128,7,concrete
129,4,carpet
130,19,soft_pvc
131,6,soft_pvc
132,13,soft_tiles
133,26,soft_pvc
134,15,carpet
135,4,carpet
136,4,carpet
137,9,carpet
138,23,hard_tiles_large_space
139,0,hard_tiles
140,4,carpet
141,11,fine_concrete
142,33,tiled
143,29,soft_pvc
144,0,hard_tiles
145,17,carpet
146,11,fine_concrete
147,14,hard_tiles_large_space
148,27,wood
149,7,concrete
150,9,carpet
151,0,hard_tiles
152,0,hard_tiles
153,16,tiled
154,6,soft_pvc
155,13,soft_tiles
156,17,carpet
157,0,hard_tiles
158,6,soft_pvc
159,22,carpet
160,28,fine_concrete
161,13,soft_tiles
162,12,hard_tiles
163,34,soft_pvc
164,14,hard_tiles_large_space
165,33,tiled
166,26,soft_pvc
167,13,soft_tiles
168,35,soft_tiles
169,13,soft_tiles
170,11,fine_concrete
171,1,fine_concrete
172,14,hard_tiles_large_space
173,20,hard_tiles
174,8,fine_concrete
175,16,tiled
176,7,concrete
177,10,hard_tiles_large_space
178,6,soft_pvc
179,16,tiled
180,9,carpet
181,1,fine_concrete
182,20,hard_tiles
183,16,tiled
184,19,soft_pvc
185,33,tiled
186,18,soft_pvc
187,11,fine_concrete
188,7,concrete
189,27,wood
190,35,soft_tiles
191,21,carpet
192,10,hard_tiles_large_space
193,29,soft_pvc
194,35,soft_tiles
195,5,hard_tiles
196,22,carpet
197,10,hard_tiles_large_space
198,0,hard_tiles
199,12,hard_tiles
200,28,fine_concrete
