# Id,Surface
0,soft_tiles
1,hard_tiles
2,hard_tiles
3,hard_tiles
4,carpet
5,fine_concrete
6,soft_pvc
7,hard_tiles
8,tiled
9,fine_concrete
10,soft_pvc
11,fine_concrete
12,concrete
13,concrete
14,hard_tiles
15,concrete
16,concrete
17,carpet
18,fine_concrete
19,carpet
20,fine_concrete
21,tiled
22,carpet
23,fine_concrete
24,carpet
25,carpet
26,soft_tiles
27,wood
28,fine_concrete
29,tiled
30,carpet
31,carpet
32,soft_tiles
33,hard_tiles
34,hard_tiles
35,hard_tiles
36,fine_concrete
37,concrete
38,soft_pvc
39,hard_tiles_large_space
40,soft_tiles
41,hard_tiles_large_space
42,soft_tiles
43,hard_tiles_large_space
44,carpet
45,wood
46,soft_pvc
47,soft_tiles
48,hard_tiles
49,soft_pvc
50,hard_tiles
51,carpet
52,carpet
53,hard_tiles
54,concrete
55,carpet
56,soft_tiles
57,soft_tiles
58,concrete
59,carpet
60,hard_tiles
61,fine_concrete
62,soft_pvc
63,tiled
64,soft_pvc
65,hard_tiles
66,fine_concrete
67,fine_concrete
68,hard_tiles
69,soft_pvc
70,hard_tiles
71,hard_tiles
72,soft_pvc
73,soft_pvc
74,hard_tiles_large_space
75,soft_tiles
76,carpet
77,soft_tiles
78,soft_pvc
79,soft_tiles
80,carpet
81,fine_concrete
82,soft_pvc
83,hard_tiles_large_space
84,soft_tiles
85,carpet
86,hard_tiles
87,soft_pvc
88,carpet
89,hard_tiles_large_space
90,soft_pvc
91,soft_pvc
92,soft_tiles
93,soft_tiles
94,hard_tiles
95,carpet
96,hard_tiles_large_space
97,hard_tiles_large_space
98,tiled
99,fine_concrete
100,soft_tiles
101,carpet
102,hard_tiles_large_space
103,soft_pvc
104,soft_tiles
105,soft_pvc
106,carpet
107,carpet
108,soft_pvc
109,soft_pvc
110,hard_tiles_large_space
111,soft_tiles
112,soft_pvc
113,hard_tiles
114,carpet
115,soft_pvc
116,soft_pvc
117,carpet
118,concrete
119,tiled
120,fine_concrete
121,carpet
122,soft_pvc
123,soft_pvc
124,tiled
125,hard_tiles
126,fine_concrete
127,fine_concrete
128,concrete
129,carpet
130,soft_pvc
131,soft_pvc
132,soft_tiles
133,soft_pvc
134,carpet
135,carpet
136,carpet
137,carpet
138,hard_tiles_large_space
139,hard_tiles
140,carpet
141,fine_concrete
142,tiled
143,soft_pvc
144,hard_tiles
145,carpet
146,fine_concrete
147,hard_tiles_large_space
148,wood
149,concrete
150,carpet
151,hard_tiles
152,hard_tiles
153,tiled
154,soft_pvc
155,soft_tiles
156,carpet
157,hard_tiles
158,soft_pvc
159,carpet
160,fine_concrete
161,soft_tiles
162,hard_tiles
163,soft_pvc
164,hard_tiles_large_space
165,tiled
166,soft_pvc
167,soft_tiles
168,soft_tiles
169,soft_tiles
170,fine_concrete
171,fine_concrete
172,hard_tiles_large_space
173,hard_tiles
174,fine_concrete
175,tiled
176,concrete
177,hard_tiles_large_space
178,soft_pvc
179,tiled
180,carpet
181,fine_concrete
182,hard_tiles
183,tiled
184,soft_pvc
185,tiled
186,soft_pvc
187,fine_concrete
188,concrete
189,wood
190,soft_tiles
191,carpet
192,hard_tiles_large_space
193,soft_pvc
194,soft_tiles
195,hard_tiles
196,carpet
197,hard_tiles_large_space
198,hard_tiles
199,hard_tiles
200,fine_concrete
201,soft_pvc
202,hard_tiles
203,soft_pvc
204,hard_tiles_large_space
205,soft_pvc
206,concrete
207,hard_tiles_large_space
208,hard_tiles
209,tiled
210,carpet
211,soft_pvc
212,hard_tiles
213,concrete
214,soft_pvc
215,hard_tiles_large_space
216,hard_tiles_large_space
217,hard_tiles_large_space
218,carpet
219,concrete
220,fine_concrete
221,carpet
222,soft_pvc
223,soft_pvc
224,tiled
225,fine_concrete
226,hard_tiles_large_space
227,soft_pvc
228,soft_pvc
229,hard_tiles_large_space
230,hard_tiles
231,soft_tiles
232,soft_pvc
233,hard_tiles
234,fine_concrete
235,hard_tiles
236,carpet
237,soft_pvc
238,soft_tiles
239,fine_concrete
240,carpet
241,soft_pvc
242,hard_tiles
243,hard_tiles
244,concrete
245,carpet
246,soft_pvc
247,soft_pvc
248,carpet
249,soft_pvc
250,concrete
251,hard_tiles_large_space
252,soft_pvc
253,carpet
254,fine_concrete
255,hard_tiles_large_space
256,hard_tiles_large_space
257,wood
258,carpet
259,carpet
260,soft_pvc
261,hard_tiles
262,soft_pvc
263,hard_tiles_large_space
264,soft_pvc
265,hard_tiles_large_space
266,soft_pvc
267,soft_pvc
268,hard_tiles
269,soft_pvc
270,hard_tiles_large_space
271,fine_concrete
272,carpet
273,tiled
274,soft_tiles
275,carpet
276,fine_concrete
277,hard_tiles
278,carpet
279,soft_pvc
280,soft_tiles
281,hard_tiles
282,soft_pvc
283,soft_pvc
284,fine_concrete
285,tiled
286,soft_pvc
287,soft_pvc
288,soft_pvc
289,soft_pvc
290,soft_pvc
291,carpet
292,carpet
293,carpet
294,soft_pvc
295,soft_pvc
296,tiled
297,hard_tiles_large_space
298,carpet
299,hard_tiles
300,tiled
301,soft_pvc
302,soft_pvc
303,fine_concrete
304,hard_tiles
305,fine_concrete
306,hard_tiles
307,carpet
308,concrete
309,fine_concrete
310,hard_tiles
311,tiled
312,concrete
